,nro_inscripcion,sexo,nacionalidad,edad,regular,cnt_readmisiones,calidad,estado_civil,sit_lab_alumno,tipo_res_nuevo,sit_lab_padres,estudios_padres,inactividad
0,FCEQN-877,2,1.0,32,S,1.0,A,1.0,NC,1.0,-1,-1.0,6
1,FCEQN-1294,2,1.0,32,N,2.0,A,1.0,NC,-1.0,-1,-1.0,6
2,FCEQN-1351,1,1.0,32,N,2.0,P,1.0,NC,1.0,-1,-1.0,4
3,FCEQN-1363,2,1.0,32,N,2.0,A,1.0,NC,-1.0,-1,-1.0,1
4,FCEQN-1367,2,1.0,32,S,1.0,A,1.0,NC,4.0,1,3.0,7
5,1527,2,1.0,37,N,0.0,P,1.0,No,4.0,3,5.0,13
6,FCEQN-1532,1,1.0,31,S,0.0,A,1.0,NC,4.0,-1,1.0,0
7,FCEQN-1618,2,1.0,33,N,1.0,P,2.0,1,2.0,3,5.0,1
9,FCEQN-1665,2,1.0,32,S,0.0,P,1.0,NC,2.0,-1,-1.0,9
10,FCEQN-1751,1,-1.0,32,S,0.0,A,1.0,No,4.0,3,5.0,1
11,FCEQN-1829,1,1.0,31,N,0.0,A,1.0,NC,2.0,-1,-1.0,6
12,FCEQN-826,1,1.0,34,N,1.0,A,1.0,NC,-1.0,-1,-1.0,8
13,FCEQN-2150,1,1.0,41,S,0.0,A,1.0,NC,-1.0,-1,-1.0,5
14,1767,2,1.0,41,N,2.0,P,1.0,NC,4.0,-1,-1.0,3
15,FCEQN-1056,1,1.0,41,N,2.0,P,1.0,NC,-1.0,-1,-1.0,0
16,5200,2,1.0,41,N,0.0,P,1.0,NC,-1.0,1,2.0,1
17,1576,1,1.0,41,S,2.0,A,1.0,NC,-1.0,-1,-1.0,1
18,FCEQN-1283,2,1.0,41,S,0.0,P,1.0,NC,3.0,1,5.0,4
19,FCEQN-600,2,1.0,34,N,1.0,A,1.0,No,4.0,3,7.0,10
20,FCEQN-1431,1,1.0,34,N,2.0,A,1.0,NC,-1.0,-1,-1.0,16
21,FCEQN-888,1,1.0,34,N,1.0,P,1.0,NC,1.0,4,3.0,1
22,FCEQN-758,2,1.0,33,S,1.0,P,1.0,NC,3.0,-1,7.0,3
23,FCEQN-1181,1,1.0,33,S,1.0,A,1.0,NC,2.0,-1,-1.0,3
24,1666,2,1.0,33,S,1.0,A,1.0,NC,-1.0,-1,-1.0,2
25,1701,2,1.0,33,S,0.0,A,2.0,NC,1.0,-1,-1.0,1
26,1451,2,1.0,33,N,0.0,P,1.0,NC,1.0,-1,-1.0,2
27,5107,1,1.0,33,S,1.0,P,1.0,NC,-1.0,-1,-1.0,0
28,350,2,1.0,49,S,2.0,A,2.0,1,1.0,4,5.0,1
29,FCEQN-2318,2,1.0,30,S,1.0,P,1.0,NC,1.0,-1,-1.0,2
30,FCEQN-2411,2,1.0,30,N,1.0,P,1.0,NC,1.0,-1,-1.0,2
31,FCEQN-2546,1,1.0,30,N,1.0,P,1.0,NC,-1.0,-1,-1.0,0
32,FCEQN-2645,2,1.0,31,N,1.0,P,1.0,NC,1.0,1,3.0,1
33,4772,1,1.0,48,N,0.0,P,2.0,NC,4.0,4,5.0,3
34,FCEQN-3005,2,1.0,32,N,0.0,P,1.0,No,1.0,3,5.0,1
35,FCEQN-3034,2,1.0,31,N,0.0,P,1.0,NC,-1.0,-1,-1.0,1
36,FCEQN-3036,1,1.0,31,N,2.0,A,1.0,NC,4.0,1,3.0,4
37,FCEQN-3162,1,1.0,35,S,1.0,P,1.0,NC,-1.0,-1,-1.0,1
38,FCEQN-3240,1,1.0,30,S,1.0,A,1.0,NC,2.0,1,3.0,3
39,FCEQN-895,2,1.0,32,S,1.0,P,1.0,NC,1.0,-1,-1.0,5
40,FCEQN-1810,2,1.0,31,N,2.0,P,1.0,NC,-1.0,-1,-1.0,1
41,FCEQN-1992,1,1.0,32,S,1.0,A,1.0,NC,1.0,-1,-1.0,1
42,FCEQN-1777,1,1.0,31,S,1.0,A,1.0,NC,1.0,-1,-1.0,4
43,1764,1,1.0,35,S,1.0,A,1.0,NC,-1.0,-1,-1.0,1
44,FCEQN-2270,2,1.0,31,S,2.0,P,1.0,No,1.0,3,4.0,4
45,FCEQN-1213,1,1.0,33,S,2.0,P,1.0,NC,1.0,-1,-1.0,3
46,FCEQN-1963,1,1.0,35,S,2.0,P,1.0,NC,1.0,-1,-1.0,1
47,FCEQN-1165,1,1.0,34,S,0.0,A,1.0,NC,-1.0,-1,-1.0,1
48,1772,2,1.0,35,S,1.0,A,1.0,NC,-1.0,-1,-1.0,1
49,FCEQN-3296,2,1.0,29,S,2.0,P,1.0,No,4.0,1,5.0,4
50,FCEQN-3384,1,1.0,32,S,1.0,P,1.0,No,4.0,4,5.0,2
51,FCEQN-3400,2,1.0,32,S,2.0,A,1.0,1,1.0,3,5.0,10
52,FCEQN-3456,2,1.0,30,S,1.0,P,1.0,No,4.0,-1,5.0,3
53,FCEQN-3467,1,1.0,30,S,1.0,A,1.0,NC,2.0,-1,-1.0,2
54,FCEQN-3511,1,1.0,30,N,0.0,P,1.0,No,2.0,3,3.0,0
55,FCEQN-3529,2,1.0,30,N,1.0,P,1.0,NC,-1.0,-1,-1.0,5
56,FCEQN-3578,2,1.0,32,N,2.0,A,1.0,NC,1.0,-1,-1.0,5
57,FCEQN-3607,2,1.0,30,S,1.0,P,1.0,NC,4.0,3,5.0,3
58,FCEQN-3657,1,1.0,30,S,1.0,P,1.0,NC,4.0,-1,1.0,3
59,FCEQN-3760,1,1.0,31,N,1.0,P,1.0,No,2.0,3,1.0,0
60,5853,2,1.0,50,N,2.0,A,2.0,NC,1.0,-1,-1.0,3
61,FCEQN-3781,2,1.0,29,N,2.0,A,1.0,No,4.0,4,3.0,2
62,FCEQN-3786,2,1.0,30,N,1.0,P,1.0,No,4.0,3,3.0,8
63,FCEQN-1236,1,1.0,33,S,1.0,A,1.0,NC,1.0,-1,-1.0,5
64,FCEQN-3887,2,1.0,31,N,2.0,P,1.0,No,4.0,3,5.0,3
65,FCEQN-3866,2,1.0,30,N,0.0,P,1.0,NC,4.0,4,1.0,2
67,1711,1,1.0,35,N,2.0,P,1.0,NC,-1.0,-1,-1.0,1
68,3260,2,1.0,38,S,0.0,A,1.0,NC,1.0,-1,-1.0,3
69,5222,1,1.0,47,S,1.0,P,2.0,NC,4.0,1,1.0,1
70,5060,1,1.0,47,N,2.0,P,1.0,NC,1.0,-1,-1.0,4
71,FCEQN-3993,2,1.0,29,S,1.0,A,1.0,No,4.0,-1,7.0,4
72,459,1,1.0,29,N,0.0,A,1.0,NC,-1.0,-1,-1.0,1
73,840,2,1.0,29,S,2.0,A,1.0,No,1.0,4,4.0,0
74,1488,2,1.0,29,N,1.0,A,1.0,NC,-1.0,-1,-1.0,2
75,1822,1,1.0,29,S,1.0,A,1.0,NC,-1.0,-1,-1.0,2
76,3428,2,1.0,41,S,0.0,P,1.0,1,3.0,1,5.0,4
77,3682,2,1.0,41,S,2.0,P,1.0,NC,3.0,1,2.0,2
78,4305,2,1.0,42,N,2.0,A,1.0,NC,4.0,-1,-1.0,4
79,4865,1,1.0,42,S,1.0,P,2.0,NC,4.0,3,5.0,3
80,6068,2,1.0,42,S,2.0,P,2.0,NC,-1.0,-1,-1.0,1
81,6816,1,1.0,36,N,1.0,P,1.0,NC,1.0,-1,-1.0,3
82,FCEQN-2395,2,1.0,32,S,0.0,A,1.0,NC,1.0,-1,-1.0,6
83,FCEQN-1371,2,1.0,32,S,1.0,P,1.0,NC,4.0,-1,-1.0,9
84,FCEQN-2443,1,1.0,31,S,0.0,P,1.0,NC,4.0,4,3.0,0
85,FCEQN-2771,1,1.0,35,N,1.0,P,1.0,NC,1.0,1,5.0,3
86,FCEQN-731,1,1.0,35,S,1.0,P,1.0,NC,4.0,4,3.0,3
87,FCEQN-2931,2,1.0,31,S,2.0,P,1.0,NC,1.0,-1,-1.0,3
88,1674,1,1.0,36,N,2.0,P,1.0,NC,2.0,1,5.0,2
89,1736,2,1.0,35,S,0.0,A,2.0,No,1.0,1,6.0,1
90,FCEQN-2941,1,1.0,31,N,2.0,P,1.0,NC,4.0,-1,-1.0,2
91,FCEQN-1681,2,1.0,31,S,1.0,A,1.0,No,1.0,3,3.0,4
92,1687,2,1.0,35,N,1.0,P,1.0,NC,1.0,-1,-1.0,0
93,FCEQN-2615,2,1.0,30,S,1.0,A,1.0,NC,2.0,-1,-1.0,13
94,944,1,1.0,44,N,1.0,P,2.0,NC,4.0,4,5.0,1
95,1024,2,1.0,38,S,2.0,P,1.0,NC,-1.0,-1,-1.0,0
96,FCEQN-2296,1,1.0,31,S,0.0,A,1.0,NC,-1.0,-1,-1.0,6
97,1439,2,1.0,40,N,1.0,P,1.0,NC,-1.0,-1,-1.0,2
98,1382,2,1.0,43,N,1.0,A,1.0,NC,1.0,-1,-1.0,3
99,FCEQN-2777,1,1.0,31,S,1.0,A,1.0,No,4.0,1,3.0,1
100,FCEQN-3390,2,1.0,30,S,1.0,P,1.0,No,4.0,1,3.0,4
101,FCEQN-1755,2,1.0,41,S,0.0,A,1.0,NC,2.0,-1,-1.0,9
102,FCEQN-2369,2,1.0,30,S,2.0,A,1.0,NC,-1.0,-1,-1.0,2
103,FCEQN-1116,1,1.0,32,N,0.0,P,1.0,NC,-1.0,-1,-1.0,0
104,FCEQN-778,2,1.0,34,S,1.0,P,1.0,NC,-1.0,-1,-1.0,1
105,FCEQN-1168,1,1.0,35,N,2.0,P,1.0,NC,-1.0,-1,-1.0,1
106,2920,2,1.0,42,N,0.0,A,2.0,NC,-1.0,-1,-1.0,1
107,FCEQN-337,2,1.0,33,S,2.0,P,1.0,NC,-1.0,-1,-1.0,10
108,6960,2,1.0,35,S,1.0,A,1.0,NC,-1.0,-1,-1.0,1
109,5689,2,1.0,35,N,1.0,P,3.0,NC,-1.0,-1,-1.0,3
110,FCEQN-941,2,1.0,34,S,2.0,P,1.0,NC,4.0,3,3.0,1
111,FCEQN-3342,2,1.0,29,S,2.0,P,1.0,No,2.0,3,3.0,2
112,FCEQN-3367,1,1.0,30,N,1.0,P,1.0,No,2.0,1,5.0,3
113,FCEQN-3379,2,1.0,30,N,1.0,P,1.0,No,3.0,3,3.0,2
114,FCEQN-3406,2,1.0,29,S,1.0,P,1.0,No,1.0,3,5.0,4
115,FCEQN-3730,2,1.0,30,S,1.0,A,1.0,NC,4.0,4,5.0,4
116,FCEQN-1434,1,3.0,33,N,0.0,P,1.0,No,4.0,3,3.0,8
117,FCEQN-2309,2,1.0,30,S,1.0,P,1.0,No,1.0,-1,5.0,1
118,FCEQN-4149,2,1.0,28,S,1.0,P,1.0,No,1.0,3,2.0,7
119,FCEQN-4182,2,1.0,29,N,2.0,P,1.0,Si,4.0,4,5.0,1
120,FCEQN-4192,1,1.0,30,S,1.0,A,1.0,No,4.0,3,5.0,8
121,FCEQN-4204,1,1.0,32,S,1.0,A,1.0,1,2.0,5,7.0,3
122,FCEQN-4242,2,1.0,29,S,0.0,A,1.0,Si,1.0,5,3.0,2
123,FCEQN-4250,1,1.0,28,S,1.0,P,1.0,1,4.0,1,5.0,3
124,FCEQN-4269,1,1.0,28,S,1.0,A,1.0,NC,-1.0,-1,-1.0,1
125,FCEQN-4284,1,1.0,28,N,1.0,P,1.0,No,1.0,4,3.0,6
126,FCEQN-4303,1,1.0,29,S,2.0,A,1.0,No,2.0,1,5.0,1
127,FCEQN-4340,1,1.0,30,S,0.0,A,1.0,Si,4.0,1,5.0,0
128,FCEQN-4359,1,1.0,28,N,0.0,A,1.0,Si,4.0,4,5.0,7
129,FCEQN-4371,1,1.0,30,N,2.0,P,1.0,Si,4.0,1,5.0,4
130,FCEQN-4379,2,1.0,30,N,1.0,P,1.0,Si,4.0,2,3.0,1
131,FCEQN-4392,2,1.0,30,S,0.0,A,1.0,No,1.0,1,5.0,7
132,FCEQN-4411,2,1.0,29,S,1.0,A,1.0,No,4.0,3,3.0,3
133,FCEQN-4455,1,1.0,28,S,1.0,P,1.0,No,4.0,4,3.0,6
134,FCEQN-4463,1,1.0,30,N,1.0,A,1.0,No,1.0,3,5.0,7
135,FCEQN-4551,2,1.0,30,S,1.0,P,1.0,No,4.0,3,5.0,7
136,5849,2,1.0,30,S,2.0,A,1.0,NC,-1.0,-1,-1.0,5
137,FCEQN-4593,2,1.0,28,N,1.0,P,1.0,NC,-1.0,-1,-1.0,5
138,FCEQN-4631,1,1.0,29,S,1.0,A,1.0,Si,4.0,4,3.0,4
139,FCEQN-4690,1,1.0,30,S,2.0,P,1.0,Si,1.0,5,3.0,4
140,FCEQN-4700,2,1.0,28,N,1.0,P,1.0,S,4.0,4,4.0,0
141,FCEQN-4711,2,1.0,28,S,1.0,A,1.0,No,2.0,4,3.0,3
142,FCEQN-4749,2,1.0,28,N,1.0,A,1.0,No,1.0,3,5.0,2
143,FCEQN-4751,1,1.0,27,N,1.0,P,1.0,NC,-1.0,-1,-1.0,1
145,FCEQN-4867,2,1.0,28,N,1.0,P,1.0,Si,1.0,1,7.0,1
146,FCEQN-4870,2,1.0,28,N,2.0,P,1.0,Si,2.0,4,5.0,4
147,FCEQN-4902,2,1.0,28,S,1.0,P,1.0,Si,2.0,1,3.0,2
148,FCEQN-4904,1,1.0,29,N,2.0,P,1.0,NC,-1.0,-1,-1.0,1
149,728,1,1.0,46,S,1.0,A,1.0,1,1.0,1,3.0,4
150,FCEQN-4951,2,1.0,28,S,1.0,A,1.0,No,4.0,3,5.0,2
151,FCEQN-4987,1,1.0,28,N,2.0,P,1.0,No,4.0,3,3.0,1
152,FCEQN-5011,1,1.0,27,S,1.0,P,1.0,No,2.0,3,5.0,2
153,FCEQN-5025,2,1.0,27,N,1.0,P,1.0,No,2.0,-1,5.0,3
154,FCEQN-5105,1,1.0,29,N,0.0,P,1.0,NC,1.0,1,3.0,2
155,FCEQN-5110,1,1.0,28,S,1.0,P,1.0,NC,-1.0,-1,-1.0,4
156,FCEQN-5111,2,1.0,26,N,1.0,P,1.0,NC,2.0,1,5.0,3
157,FCEQN-5113,2,1.0,26,N,0.0,A,1.0,NC,1.0,3,5.0,1
158,FCEQN-5115,2,1.0,26,S,2.0,P,1.0,NC,2.0,-1,-1.0,4
159,FCEQN-5116,2,1.0,41,N,1.0,A,1.0,NC,1.0,-1,-1.0,0
160,FCEQN-5117,1,1.0,29,N,0.0,P,1.0,NC,1.0,-1,-1.0,1
161,FCEQN-5120,1,1.0,28,S,0.0,P,1.0,NC,2.0,-1,-1.0,6
162,FCEQN-5121,2,1.0,26,N,1.0,P,1.0,NC,2.0,-1,3.0,4
163,FCEQN-5122,2,1.0,35,S,0.0,P,1.0,NC,4.0,1,5.0,4
164,FCEQN-5123,1,1.0,27,S,2.0,A,1.0,NC,1.0,-1,-1.0,4
165,FCEQN-5124,1,1.0,28,S,1.0,A,1.0,NC,2.0,1,5.0,6
166,FCEQN-5126,2,1.0,30,S,2.0,P,1.0,NC,2.0,-1,-1.0,3
167,FCEQN-5128,2,1.0,28,S,0.0,A,1.0,NC,2.0,3,3.0,0
168,FCEQN-5129,2,1.0,27,S,0.0,P,1.0,NC,2.0,3,5.0,4
169,FCEQN-5131,2,1.0,26,N,1.0,A,1.0,NC,4.0,2,4.0,1
170,FCEQN-5134,1,1.0,28,S,1.0,P,1.0,NC,-1.0,-1,-1.0,1
171,FCEQN-5135,2,1.0,27,N,0.0,P,1.0,NC,2.0,1,5.0,2
172,FCEQN-5139,2,1.0,28,N,2.0,P,1.0,NC,-1.0,-1,-1.0,2
173,FCEQN-5140,2,1.0,27,N,1.0,P,1.0,NC,-1.0,-1,-1.0,2
174,FCEQN-5141,2,1.0,26,S,1.0,P,1.0,NC,-1.0,-1,-1.0,4
175,FCEQN-5143,1,1.0,27,N,1.0,P,1.0,NC,-1.0,-1,-1.0,3
176,FCEQN-5144,2,1.0,26,S,2.0,P,1.0,NC,2.0,3,5.0,0
177,FCEQN-5145,2,1.0,27,N,0.0,P,1.0,NC,1.0,3,5.0,3
178,FCEQN-5148,2,1.0,26,N,0.0,P,1.0,NC,-1.0,-1,-1.0,2
179,FCEQN-5152,2,1.0,27,N,2.0,A,1.0,NC,2.0,1,5.0,3
180,FCEQN-5160,2,1.0,28,N,1.0,A,1.0,NC,-1.0,-1,-1.0,2
182,FCEQN-5162,2,1.0,27,S,1.0,P,1.0,NC,-1.0,-1,-1.0,1
183,FCEQN-5163,2,1.0,30,N,2.0,P,1.0,NC,2.0,1,5.0,2
184,FCEQN-5164,2,1.0,27,S,0.0,A,1.0,NC,-1.0,-1,-1.0,1
185,FCEQN-5165,2,1.0,27,S,0.0,A,1.0,NC,-1.0,-1,-1.0,2
186,FCEQN-5170,2,1.0,26,S,2.0,P,1.0,NC,-1.0,3,2.0,4
187,FCEQN-5171,1,1.0,26,S,1.0,P,1.0,NC,4.0,1,5.0,2
188,FCEQN-5174,2,1.0,27,S,1.0,P,1.0,NC,-1.0,1,5.0,0
189,FCEQN-5177,2,1.0,34,S,2.0,P,1.0,NC,-1.0,-1,-1.0,1
190,FCEQN-5180,2,1.0,52,N,1.0,P,1.0,NC,-1.0,-1,-1.0,5
191,FCEQN-5181,2,1.0,27,S,1.0,P,1.0,NC,-1.0,1,3.0,4
192,FCEQN-5182,2,1.0,31,N,2.0,P,1.0,NC,1.0,1,5.0,3
193,FCEQN-5183,2,1.0,26,S,1.0,A,1.0,NC,2.0,3,4.0,1
194,FCEQN-5197,2,1.0,27,N,0.0,P,1.0,NC,1.0,-1,-1.0,5
195,FCEQN-5201,2,1.0,45,S,0.0,P,1.0,NC,1.0,3,5.0,0
196,FCEQN-5203,2,1.0,27,N,2.0,P,1.0,NC,2.0,1,7.0,2
197,FCEQN-5202,1,1.0,26,S,0.0,P,1.0,NC,-1.0,-1,-1.0,1
198,FCEQN-5206,1,1.0,32,S,0.0,A,1.0,NC,-1.0,-1,-1.0,2
199,FCEQN-5207,2,1.0,26,N,1.0,A,1.0,NC,1.0,-1,-1.0,0
201,FCEQN-5209,2,1.0,27,N,2.0,P,1.0,NC,-1.0,1,5.0,5
202,FCEQN-5217,1,1.0,27,S,1.0,A,1.0,NC,1.0,3,7.0,11
203,FCEQN-5218,1,1.0,26,N,1.0,P,1.0,NC,-1.0,-1,-1.0,1
204,FCEQN-5220,2,1.0,29,S,1.0,A,1.0,NC,1.0,1,7.0,1
205,FCEQN-5221,2,1.0,26,S,1.0,A,1.0,NC,-1.0,3,5.0,1
206,FCEQN-5235,2,1.0,27,N,1.0,P,1.0,NC,2.0,3,3.0,5
207,FCEQN-5236,1,1.0,32,N,0.0,P,1.0,NC,1.0,1,3.0,8
208,FCEQN-5239,2,1.0,31,S,0.0,A,1.0,NC,1.0,1,5.0,8
209,FCEQN-5240,1,1.0,28,S,1.0,P,1.0,NC,-1.0,-1,-1.0,3
210,FCEQN-5244,2,1.0,26,S,1.0,A,1.0,NC,3.0,1,5.0,1
211,FCEQN-5246,1,1.0,28,S,1.0,A,1.0,NC,-1.0,-1,-1.0,2
212,FCEQN-5248,2,1.0,26,N,1.0,A,1.0,NC,2.0,1,7.0,1
213,FCEQN-5250,2,1.0,26,N,1.0,P,1.0,NC,2.0,3,5.0,2
214,FCEQN-5251,2,1.0,28,N,1.0,P,1.0,NC,4.0,4,5.0,2
215,FCEQN-5255,1,1.0,27,N,2.0,P,1.0,NC,3.0,3,3.0,4
216,FCEQN-5257,2,1.0,26,S,1.0,P,1.0,NC,4.0,1,3.0,0
217,FCEQN-5260,1,1.0,37,N,1.0,A,2.0,NC,1.0,3,3.0,0
218,FCEQN-5261,2,1.0,32,N,0.0,P,1.0,NC,4.0,1,5.0,7
219,FCEQN-5263,2,1.0,26,N,2.0,P,1.0,NC,2.0,4,5.0,3
220,FCEQN-5262,1,1.0,26,N,1.0,P,1.0,NC,3.0,1,3.0,5
221,FCEQN-5265,1,1.0,27,S,1.0,P,1.0,NC,-1.0,1,5.0,4
222,FCEQN-5267,2,1.0,27,S,2.0,P,1.0,NC,-1.0,3,3.0,2
223,FCEQN-5268,2,1.0,27,S,1.0,P,1.0,NC,4.0,1,5.0,1
224,FCEQN-5269,2,1.0,26,N,1.0,P,1.0,NC,1.0,1,7.0,7
225,FCEQN-5272,1,1.0,26,N,0.0,A,1.0,NC,1.0,3,6.0,2
226,FCEQN-5275,1,1.0,27,N,1.0,P,1.0,NC,-1.0,-1,-1.0,2
227,FCEQN-5276,1,1.0,28,N,0.0,A,1.0,NC,-1.0,-1,-1.0,0
228,FCEQN-5282,1,1.0,26,S,2.0,P,1.0,NC,4.0,3,5.0,4
229,FCEQN-5283,2,1.0,27,N,1.0,P,1.0,NC,1.0,3,5.0,4
230,FCEQN-5285,1,1.0,26,S,2.0,A,1.0,NC,1.0,1,7.0,1
231,FCEQN-5286,2,1.0,26,S,2.0,P,1.0,NC,-1.0,3,5.0,3
232,FCEQN-5287,1,1.0,26,N,1.0,P,1.0,NC,2.0,3,4.0,4
233,FCEQN-5294,1,1.0,29,S,1.0,A,1.0,NC,-1.0,-1,-1.0,4
234,FCEQN-5300,1,1.0,27,N,1.0,P,1.0,NC,1.0,3,7.0,1
235,FCEQN-5302,1,1.0,27,N,0.0,P,1.0,NC,-1.0,-1,-1.0,0
236,FCEQN-5304,1,1.0,27,N,0.0,A,1.0,NC,1.0,-1,-1.0,6
238,FCEQN-5307,1,1.0,27,S,1.0,A,1.0,NC,-1.0,-1,-1.0,1
239,FCEQN-5308,2,1.0,26,N,1.0,A,1.0,NC,4.0,1,3.0,1
240,FCEQN-5310,1,1.0,40,S,1.0,P,2.0,NC,1.0,-1,-1.0,4
241,FCEQN-5311,2,1.0,27,S,0.0,A,1.0,NC,-1.0,-1,-1.0,4
242,FCEQN-5313,1,1.0,27,N,0.0,A,1.0,NC,1.0,3,3.0,4
243,FCEQN-5314,2,1.0,27,N,0.0,A,1.0,NC,-1.0,-1,-1.0,1
244,FCEQN-5317,2,1.0,26,S,1.0,P,1.0,NC,4.0,4,4.0,1
245,FCEQN-5318,1,1.0,26,N,1.0,P,1.0,NC,2.0,1,5.0,1
246,FCEQN-5319,1,1.0,26,N,0.0,A,1.0,NC,-1.0,-1,-1.0,3
247,FCEQN-5320,1,1.0,28,S,2.0,A,1.0,NC,-1.0,-1,-1.0,5
248,FCEQN-5325,2,1.0,26,S,0.0,A,1.0,NC,2.0,1,5.0,2
249,FCEQN-5337,2,1.0,26,S,1.0,A,1.0,NC,-1.0,1,3.0,5
250,FCEQN-5338,2,1.0,28,S,2.0,A,1.0,NC,2.0,1,7.0,4
251,FCEQN-5339,1,1.0,27,N,1.0,P,1.0,NC,1.0,1,5.0,2
252,FCEQN-5341,1,1.0,36,N,1.0,A,1.0,NC,1.0,3,5.0,3
253,FCEQN-5343,2,1.0,29,S,1.0,P,1.0,NC,2.0,1,5.0,1
254,FCEQN-5344,2,1.0,28,N,0.0,P,1.0,NC,1.0,3,3.0,1
255,FCEQN-5345,2,1.0,26,S,2.0,A,1.0,NC,4.0,3,3.0,1
256,FCEQN-5351,1,1.0,28,N,0.0,P,1.0,NC,-1.0,3,3.0,4
257,FCEQN-5356,2,1.0,26,S,1.0,A,1.0,NC,-1.0,3,6.0,6
258,FCEQN-5357,1,1.0,29,S,0.0,P,1.0,NC,2.0,1,5.0,1
259,FCEQN-5363,2,1.0,28,S,2.0,A,1.0,NC,1.0,1,5.0,4
260,FCEQN-5368,1,1.0,37,S,1.0,P,1.0,NC,-1.0,-1,-1.0,1
261,FCEQN-5373,1,1.0,37,S,2.0,P,1.0,NC,-1.0,-1,-1.0,3
262,FCEQN-5374,1,1.0,37,S,1.0,P,1.0,NC,-1.0,-1,-1.0,1
263,FCEQN-5375,1,1.0,37,S,2.0,P,1.0,NC,-1.0,-1,-1.0,2
264,FCEQN-5376,1,1.0,37,N,0.0,P,1.0,NC,-1.0,-1,-1.0,1
265,FCEQN-5377,1,1.0,37,N,1.0,A,1.0,NC,-1.0,-1,-1.0,4
266,FCEQN-5380,2,1.0,37,N,0.0,A,1.0,NC,-1.0,1,5.0,2
267,FCEQN-5381,1,1.0,37,S,0.0,A,1.0,NO,1.0,4,3.0,1
268,FCEQN-5388,2,1.0,27,N,0.0,P,1.0,NC,-1.0,3,3.0,4
269,FCEQN-5400,2,1.0,26,N,0.0,A,1.0,NC,-1.0,-1,-1.0,1
270,FCEQN-5402,2,1.0,27,S,0.0,A,1.0,NC,-1.0,3,5.0,2
271,FCEQN-5412,1,1.0,27,N,2.0,P,1.0,NC,-1.0,-1,-1.0,2
272,FCEQN-5415,2,1.0,26,N,2.0,P,1.0,NC,-1.0,-1,-1.0,0
273,FCEQN-5416,2,1.0,26,S,2.0,A,1.0,NC,2.0,1,5.0,0
274,FCEQN-5421,1,1.0,27,S,2.0,P,1.0,NC,2.0,1,7.0,6
275,FCEQN-5423,1,1.0,26,N,0.0,P,1.0,NC,-1.0,-1,-1.0,2
276,FCEQN-5424,2,1.0,26,N,2.0,A,1.0,NC,-1.0,-1,-1.0,2
277,FCEQN-5425,2,1.0,27,S,1.0,P,1.0,NC,-1.0,3,3.0,1
278,FCEQN-5428,2,1.0,26,S,0.0,P,1.0,NC,-1.0,1,5.0,3
279,FCEQN-5429,2,1.0,26,N,2.0,P,1.0,NC,4.0,1,3.0,4
280,FCEQN-5434,1,1.0,27,N,0.0,A,1.0,NC,-1.0,-1,-1.0,5
281,FCEQN-5436,1,1.0,27,S,1.0,P,1.0,NC,-1.0,3,7.0,7
282,FCEQN-5442,1,1.0,28,S,2.0,A,1.0,NC,-1.0,3,3.0,0
283,FCEQN-5444,1,1.0,26,S,1.0,P,1.0,NC,4.0,1,5.0,1
284,FCEQN-5445,2,1.0,28,N,1.0,P,1.0,NC,-1.0,-1,-1.0,5
285,FCEQN-5446,1,1.0,26,S,2.0,A,1.0,NC,2.0,3,4.0,0
286,FCEQN-5455,2,1.0,61,S,1.0,P,1.0,NC,2.0,1,3.0,1
287,FCEQN-5460,1,1.0,26,S,2.0,A,1.0,NC,4.0,1,3.0,2
288,FCEQN-5463,2,1.0,27,N,0.0,A,1.0,NC,-1.0,1,7.0,6
289,FCEQN-5473,1,1.0,31,S,0.0,A,1.0,NC,-1.0,-1,-1.0,4
290,FCEQN-5475,1,1.0,28,N,0.0,A,1.0,NC,-1.0,-1,-1.0,3
291,FCEQN-5481,2,2.0,27,S,1.0,P,1.0,NC,1.0,1,5.0,3
292,FCEQN-5484,2,1.0,27,N,2.0,P,1.0,NC,1.0,3,3.0,1
293,FCEQN-5485,1,1.0,27,S,2.0,P,1.0,NC,2.0,1,7.0,4
294,FCEQN-5487,2,1.0,25,S,1.0,A,1.0,NC,1.0,1,5.0,4
295,FCEQN-5492,1,1.0,27,N,1.0,P,1.0,NC,-1.0,-1,-1.0,1
296,FCEQN-5496,2,1.0,29,N,1.0,P,1.0,NC,-1.0,-1,-1.0,2
297,FCEQN-5497,1,1.0,55,N,1.0,P,1.0,NC,-1.0,-1,-1.0,3
298,FCEQN-5499,1,1.0,31,S,0.0,P,1.0,NC,-1.0,-1,-1.0,2
299,FCEQN-5501,2,1.0,27,S,1.0,A,1.0,NC,1.0,3,5.0,0
300,FCEQN-5502,2,1.0,26,S,0.0,A,1.0,NC,2.0,1,7.0,1
301,FCEQN-5503,1,1.0,28,S,2.0,A,1.0,NC,1.0,3,3.0,0
302,FCEQN-5504,2,1.0,27,N,0.0,A,1.0,NC,2.0,-1,-1.0,1
303,FCEQN-5506,2,1.0,28,S,1.0,P,1.0,NC,1.0,3,4.0,2
304,FCEQN-5507,2,1.0,27,S,1.0,P,1.0,NC,-1.0,-1,-1.0,4
305,FCEQN-5515,1,1.0,27,S,1.0,P,1.0,NC,1.0,3,7.0,1
