,nro_inscripcion,sexo,nacionalidad,edad,regular,cnt_readmisiones,calidad,estado_civil,sit_lab_alumno,tipo_res_nuevo,sit_lab_padres,estudios_padres,inactividad
1242,FCEQN-6349,2,1.0,27,N,1.0,P,1.0,NC,3.0,-1,2.0,3
1243,FCEQN-6351,1,1.0,26,S,1.0,P,1.0,NC,-1.0,4,3.0,2
1244,FCEQN-6352,1,1.0,26,N,1.0,P,1.0,NC,-1.0,4,3.0,2
1245,FCEQN-6353,1,1.0,26,N,1.0,P,1.0,NC,-1.0,-1,-1.0,2
1246,FCEQN-6354,1,1.0,40,S,1.0,A,2.0,NC,-1.0,4,5.0,0
1247,FCEQN-6355,2,2.0,27,S,1.0,P,1.0,NC,-1.0,-1,-1.0,0
1248,FCEQN-6357,1,2.0,26,S,0.0,A,1.0,NC,2.0,4,3.0,1
1249,FCEQN-6358,1,1.0,26,N,2.0,P,1.0,NC,-1.0,-1,-1.0,3
1250,FCEQN-6359,1,1.0,28,S,1.0,P,1.0,NC,-1.0,-1,-1.0,1
1251,FCEQN-6360,1,1.0,25,N,1.0,P,1.0,NC,-1.0,4,3.0,3
1252,FCEQN-6361,1,1.0,27,S,0.0,A,1.0,NC,-1.0,4,4.0,4
1253,FCEQN-6362,1,1.0,27,S,1.0,A,1.0,NC,-1.0,-1,-1.0,1
1254,FCEQN-6363,1,1.0,25,S,1.0,P,1.0,NC,-1.0,4,3.0,2
1255,FCEQN-6365,1,1.0,26,S,0.0,P,1.0,NC,1.0,-1,3.0,3
1256,FCEQN-6367,1,1.0,26,N,1.0,P,1.0,NC,-1.0,-1,-1.0,1
1257,FCEQN-6368,1,1.0,25,N,2.0,P,1.0,NC,-1.0,-1,-1.0,1
1258,FCEQN-6369,1,1.0,27,S,1.0,P,1.0,NC,-1.0,-1,-1.0,4
1259,FCEQN-6371,1,1.0,30,S,1.0,P,1.0,NC,-1.0,4,3.0,2
1260,FCEQN-6374,1,1.0,25,N,2.0,P,1.0,NC,-1.0,3,7.0,2
1261,FCEQN-6375,1,1.0,32,S,1.0,A,1.0,NC,-1.0,4,4.0,0
1262,FCEQN-6378,2,1.0,27,N,1.0,P,1.0,NC,-1.0,-1,1.0,4
1263,FCEQN-6379,2,1.0,26,S,0.0,A,1.0,NC,1.0,-1,1.0,6
1264,FCEQN-6380,2,1.0,26,N,0.0,P,1.0,NC,-1.0,-1,-1.0,2
1265,FCEQN-6381,1,1.0,27,N,1.0,A,1.0,NC,-1.0,-1,-1.0,2
1266,FCEQN-6382,1,1.0,26,N,2.0,A,1.0,NC,-1.0,-1,-1.0,0
1267,FCEQN-6383,1,1.0,25,S,1.0,P,1.0,NC,-1.0,4,5.0,2
1268,FCEQN-6384,1,1.0,26,S,0.0,A,1.0,NC,-1.0,1,5.0,1
1269,FCEQN-6385,1,1.0,25,N,1.0,P,1.0,NC,-1.0,-1,-1.0,0
1270,FCEQN-6386,1,1.0,25,N,0.0,A,1.0,NC,-1.0,4,5.0,2
1271,FCEQN-6387,1,1.0,29,S,2.0,A,1.0,NC,-1.0,4,5.0,1
1272,FCEQN-6388,1,1.0,26,N,0.0,P,1.0,NC,-1.0,-1,-1.0,10
1273,FCEQN-6389,1,1.0,27,N,1.0,A,1.0,NC,-1.0,-1,-1.0,0
1274,FCEQN-6390,1,1.0,26,S,2.0,A,1.0,NC,-1.0,-1,1.0,3
1275,FCEQN-6391,2,1.0,26,S,2.0,A,1.0,NC,-1.0,-1,1.0,3
1276,FCEQN-6392,1,1.0,34,N,2.0,P,1.0,NC,-1.0,-1,-1.0,2
1277,FCEQN-6395,1,1.0,35,S,1.0,A,2.0,NC,-1.0,4,7.0,3
1278,FCEQN-6396,1,1.0,44,N,2.0,A,1.0,NC,-1.0,4,2.0,3
1279,FCEQN-6398,1,1.0,28,S,2.0,P,1.0,NC,-1.0,4,5.0,4
1280,FCEQN-6399,1,1.0,27,S,1.0,P,1.0,NC,-1.0,4,5.0,2
1281,FCEQN-6400,1,1.0,27,N,2.0,A,1.0,NC,2.0,4,5.0,1
1282,FCEQN-6401,1,1.0,25,S,1.0,A,1.0,NC,-1.0,4,5.0,3
1283,FCEQN-6402,1,1.0,33,S,2.0,A,1.0,NC,-1.0,4,5.0,0
1284,FCEQN-6404,1,1.0,29,S,1.0,P,1.0,NC,-1.0,-1,-1.0,7
1285,FCEQN-6405,2,1.0,26,S,2.0,A,1.0,NC,-1.0,-1,-1.0,0
1286,FCEQN-6406,2,1.0,27,S,1.0,A,1.0,NC,-1.0,-1,1.0,2
1287,FCEQN-6407,1,1.0,29,S,0.0,A,1.0,NC,-1.0,4,3.0,4
1288,FCEQN-6410,1,1.0,26,N,1.0,A,1.0,NC,-1.0,4,5.0,0
1289,FCEQN-6411,2,1.0,26,S,1.0,A,1.0,NC,-1.0,-1,-1.0,0
1290,FCEQN-6412,2,1.0,27,N,2.0,A,1.0,NC,-1.0,-1,1.0,2
1291,FCEQN-6413,1,1.0,26,S,2.0,A,1.0,NC,-1.0,-1,-1.0,1
1292,FCEQN-6414,1,1.0,25,S,1.0,P,1.0,NC,2.0,4,5.0,3
1293,FCEQN-6415,2,1.0,26,S,1.0,A,1.0,NC,-1.0,3,4.0,0
1294,FCEQN-6416,1,1.0,30,S,1.0,P,1.0,NC,-1.0,3,5.0,3
1295,FCEQN-6295,1,1.0,26,N,1.0,A,1.0,NC,-1.0,-1,-1.0,16
1296,FCEQN-2623,2,1.0,30,N,2.0,A,1.0,NC,1.0,-1,-1.0,3
1297,FCEQN-6417,1,2.0,27,S,1.0,A,1.0,NC,2.0,-1,1.0,5
1298,FCEQN-6418,1,1.0,32,N,1.0,A,1.0,NC,1.0,-1,7.0,1
1299,FCEQN-6419,1,1.0,27,S,2.0,P,1.0,NC,-1.0,-1,1.0,4
